Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Southeastern Xanthurus Rat,Rattus salocco,Rodentia,Muridae,1932,89,0,Habitat loss,1,0,Oriental,1,Indonesia,Sulawesi,DD,Three specimens only
Small-eared Taeromys,Taeromys microbullatus,Rodentia,Muridae,1932,89,0,Habitat loss,1,1,Oriental,1,Indonesia ,Sulawesi,DD,Known only from type series.
Okinawa Flying-fox,Pteropus loochoensis,Chiroptera ,Pteropodidae,1894,127,0,unknown,1,0,Eurasian,0,Japan,Ryuku Islands,DD,Taxonomy uncertain. Lazarus.
Greater Mindanao Shrew,Crocidura grandis,Eulipotyphla,Soricidae,1906,115,0,Possibly habitat loss,1,1,Oriental,1,Philippines,,DD,
Dubious Trumpet-eared bat,Phoniscus aerosa,Chiroptera ,Vespertilionidae,1858,163,0,Unknown,?,?,?,?,?,,DD,"Two syntypes. Locality data provisionally ""South Africa"" but this could be in error."
Peleng Island Xanthurus Rat,Rattus pelurus,Rodentia,Muridae,1938,83,0,Unknown - habitat loss hypothesized,1,0,Oriental,1,Indonesia ,Sulawesi,DD,Known only from type series.
Insular Myotis,Myotis insularum,Chiroptera,Vespertilionidae,1878,143,0,Unknown,1,0,Australian ,1,Samoa,,DD,Exact collection locality uncertain.Taxonomy uncertain. Altitudinal zone unknown.
Somali Striped Mole-rat,Fukomys ilariae,Rodentia,Bathyergidae,1932,89,0,Unknown,0,0,African,1,Somalia,,DD,Known only from holotype. Exact collection locality uncertain. Primary literature indicates earliest possible date as 1932 but could be earlier
Heinrich's Wood Mouse,Hylomyscus heinrichorum,Rodentia,Muridae,1954,67,0,Habitat loss assumed,0,1,African,1,Angola  ,,DD,
Fossorial Giant Rat,Gyldenstolpia fronto,Rodentia,Cricetidae,1896,125,1,Unknown,0,0,South American,1,Argentina ,,CR,
Single-striped Opossum,Monodelphis unistriata,Didelphimorphia,Didelphidae,1899,122,1,Unknown. Presumed habitat loss,0,0,South American,1,Brazil,,CR,
Kerr's Atlantic Tree-rat,Phyllomys kerri,Rodentia,Echimydae,1950,71,0,Habitat loss,0,0,South American,1,Brazil,,DD,
Sao Paulo Grass Mouse,Akodon sanctipaulensis,Rodentia,Cricetidae,1961,60,0,Habitat loss assumed,0,0,South American,1,Brazil ,,DD,
Kouprey,Bos sauveli,Cetartiodactyla,Bovidae,1969,52,1,"Hunting, Disease",0,0,Oriental,1,Cambodia,,CR,
Sichuan Weasel,Mustela russelliana,Carnivora,Mustelidae,1938,83,0,Habitat loss assumed,0,1,Eurasian,0,China,,DD,
Eastern Cordillera Small-footed Shrew,Cryptotis brachyonyx,Eulipotyphla,Soricidae,1925,96,0,Unknown,0,1,South American,1,Colombia,,DD,
Dwarf Hutia,Mesocapromys nanus,Rodentia,Capromyidae,1937,84,1,Introduced predators and habitat loss,1,0,South American,1,Cuba,,CR,
Eisentraut's Mouse Shrew,Myosorex eisentrauti,Eulipotyphla,Soricidae,1968,53,0,Habitat loss,1,1,African,1,Equatorial Guinea,Bioko Island,CR,
Ethiopian Amphibious Rat,Nilopegamys plumbeus,Rodentia,Muridae,1928,93,1,Habitat loss,0,1,African,1,Ethiopia,,CR,
King Genet,Genetta poensis,Carnivora,Viverridae,1946,75,0,Hunting and habitat loss assumed,0,0,African,1,Ghana,,DD,
Sumatran Mastiff Bat,Mormopterus doriae,Chiroptera,Molossidae,1907,114,0,None known,1,0,Oriental,1,Indonesia,Sumatra,DD,
Burnished Enggano Rat,Rattus adustus,Rodentia,Muridae,1920,101,0,Habitat loss and introduced competitors,1,0,Oriental,1,Indonesia,Enggano,DD,
Manusela Melomys,Melomys fraterculus,Rodentia,Muridae,1920,101,0,Habitat loss and disease,1,1,Australian ,1,Indonesia,Moluccas,EN,
Northeastern Mountain Taeromys,Taeromys taerae,Rodentia,Muridae,1932,89,0,Habitat loss and hunting,1,1,Oriental,1,Indonesia,Sulawesi,VU,
White-toothed Mouse,Brassomys albidens,Rodentia,Muridae,1938,83,0,Unknown,1,1,Australian ,1,Indonesia,Papua,DD,
Sumatran Flying Squirrel,Hylopetes winstoni,Rodentia,Sciuridae,1949,72,0,None known,1,0,Oriental,1,Indonesia,Sumatra,DD,
Enggano Island Rat,Rattus enganus,Rodentia,Muridae,1906,115,0,Habitat loss and introduced competitors,1,0,Oriental,1,Indonesia ,Enggano,DD,
Seram Bandicoot,Rhynchomeles prattorum,Peramelemorphia,Peramelidae,1920,101,0,Habitat loss and introduced predators,1,1,Oriental,1,Indonesia ,Moluccas,EN,
Bangka Slow Loris,Nycticebus bancanus,Primates,Lorisidae,1937,84,1,Habitat loss,1,0,Oriental ,1,Indonesia ,Banka Island,CR,
Biak Giant Rat,Uromys boeadii,Rodentia,Muridae,1963,58,0,Hunting and Habitat loss,1,0,Australian ,1,Indonesia ,Moluccas,CR,
Western Water Rat,Hydromys hussoni,Rodentia,Muridae,1959,62,0,Climate change and habitat loss assumed,1,1,Australian ,1,Indonesia ,,DD,
Gloomy Tube-nosed Bat,Murina tenebrosa,Chiroptera,Vespertilionidae,1962,59,1,Unknown,1,0,Eurasian,1,Japan ,Tsushima Island,CR,
Rainey Shrew,Crocidura raineyi,Eulipotyphla,Soricidae,1912,109,0,Overgrazing,0,1,African,1,Kenya,,DD,
Puebla Deer Mouse,Peromyscus mekisturus,Rodentia,Cricetidae,1966,55,1,Habitat loss,0,1,North American,0,Mexico,,CR,
Tumbal  Climbing Rat,Tylomys tumbalensis,Rodentia,Cricetidae,1966,55,0,Habitat loss,0,0,South American,1,Mexico,,CR,
Chiapan Climbing Rat,Tylomys bullaris,Rodentia,Cricetidae,1966,55,0,Habitat loss,0,0,South American,1,Mexico,,CR,
New Zealand Greater Short-tailed Bat,Mystacina robusta,Chiroptera,Mystacinidae,1967,54,1,Introduced predators  ,1,0,Australian ,0,New Zealand,,CR,
Rossel Island Melomys,Melomys arcium,Rodentia,Muridae,1960,61,0,Habitat loss assumed,1,0,Australian ,1,Papua New Guinea,,DD,
