Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Sandy Limbless Skink,Scolecoseps acontias,Squamata,Scincidae,1913,108,0,Habitat loss,0,0,African,1,Tanzania,,DD,Known only from holotype.
Boulenger's Limbless Skink,Scolecoseps boulengeri,Squamata,Scincidae,1964,57,0,Unknown,0,0,African,1,Mozambique,,DD,
Marche Leon Least Gecko,Sphaerodactylus elasmorhynchus,Squamata,Sphaerodactylidae,1966,55,1,Habitat loss,1,0,South American,1,Haiti,,CR,Known only from holotype.
Jamaican Collared Sphaero,Sphaerodactylus gilvitorques,Squamata,Sphaerodactylidae,1862,159,0,Habitat loss,1,0,South American,1,Jamaica,,DD,Known only from holotype.Tacticly acknowledged as potentially extinct even if not listed as such.
Cap-Haitien Least Gecko,Sphaerodactylus lazelli,Squamata,Sphaerodactylidae,1960,61,1,Habitat loss,1,0,South American,1,Haiti,,CR,Known only from type series.
Morne Dubois Least Gecko,Sphaerodactylus nycteropus,Squamata,Sphaerodactylidae,1971,50,0,Habitat loss,1,0,South American,1,Haiti,,CR,Known only from type series.
Grandison?s Forest Skink,Sphenomorphus grandisonae,Squamata,Scincidae,1962,59,0,Unknown,0,0,Oriental,1,Thailand,,DD,Known only from holotype. Collection date not given so description date applied.
Notaburi Forest Skink,Sphenomorphus helenae,Squamata,Scincidae,1927,94,0,Unknown. Potentially habitat loss,0,0,Oriental,1,Thailand,,DD,Known only from holotype. Collection date not given so description date applied.
Skink sp.,Sphenomorphus laterimaculatus,Squamata,Scincidae,1961,60,0,Habitat loss,1,0,Oriental,1,Phillipines,Luzon,DD,Known only from holotype.
Skink sp.,Sphenomorphus lawtoni,Squamata,Scincidae,1929,92,0,Unknown. Pollution hypothesised,1,0,Oriental,1,Phillipines,Luzon,DD,"Known only from type series. Last observed in 1920s, 1929 conservatively applied."
Skink sp.,Sphenomorphus shelfordi,Squamata,Scincidae,1900,121,0,Habitat loss,1,0,Oriental,1,Malaysia,Sarawak,DD,Known only from holotype.
Skink sp.,Sphenomorphus transversus,Squamata,Scincidae,1962,59,0,Unknown,1,0,Australian ,1,Papua New Guinea,Bougainville,DD,Known only from holotype.
Skink sp.,Sphenomorphus wrighti,Squamata,Scincidae,1949,72,0,Habitat loss,1,0,Oriental,1,Phillipines,,DD,
Anegada Skink,Spondylurus anegadae,Squamata,Scincidae,1966,55,1,Habitat loss & Introduced predators,1,0,South American,1,British Virgin Islands,,CR,
Culebra Skink,Spondylurus culebrae,Squamata,Scincidae,1936,85,1,Habitat loss & Introduced predators,1,0,South American,1,Puerto Rico,,CR,
Hispaniolan Four-lined Skink,Spondylurus haitiae,Squamata,Scincidae,1858,163,1,Habitat loss & Introduced predators,1,0,South American,1,Puerto Rico,,CR,"Known only from type series. Last observed 1857-1858, 1858 conservatively applied."
Saint Martin Skink,Spondylurus martinae,Squamata,Scincidae,1965,56,1,Introduced predators,1,0,South American,1,St Martin,,CR,
