Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Small-eyed Galliwasp,Celestus microblepharis,Squamata,Anguidae,1952,69,0,Introduced predators and habitat loss,1,0,South American,1,Jamaica,,CR,Tacticly acknowledged as potentially extinct even if not listed as such.
Jamaica Giant Galliwasp,Celestus occiduus,Squamata,Anguidae,1851,170,1,Introduced predators and habitat loss,1,0,South American,1,Jamaica,,CR,
Ebner's Skink,Chalcides ebneri,Squamata,Scincidae,1970,51,0,Habitat loss,0,0,Eurasian,0,Morocco,,CR,
Five-fingered Skink,Chalcides pentadactylus,Squamata,Scincidae,1870,151,0,Unknown,0,0,Oriental,1,India,,DD,Known only from holotype.
Fernandina Giant Tortoise,Chelonoidis phantasticus,Testudines,Testudinidae,1906,115,1,Lava flows,1,0,South American,1,Ecuador ,Galapagos,CR,
Amphisbaenid sp.,Chirindia mpwapwaensis,Squamata,Amphisbaenidae,1929,92,0,Unknown. Potentially habitat loss,0,1,African,1,Tanzania,,DD,
Enggano Rat Snake,Coelognathus enganensis,Squamata,Colubridae,1930,91,0,Unknown,1,0,Oriental,1,Indonesia ,Enggano Island,DD,Known only from type series.
Snake sp.,Coniophanes joanae,Squamata,Dipsadidae,1969,52,0,Unknown. Habitat loss hypothesised,0,0,South American,1,Panama,Darien region,DD,
Inagua Blindsnake,Cubatyphlops paradoxus,Squamata,Typhlopidae,1967,54,0,Potentially habitat loss,1,0,South American,1,Bahamas,,DD,Known only from type series.
Amphisbaenid sp.,Cynisca degrysi,Squamata,Amphisbaenidae,1941,80,0,Unknown,0,0,African,1,Sierra Leone,,DD,Known only from holotype. Collection date not given so description date applied.
Amphisbaenid sp.,Cynisca gansi,Squamata,Amphisbaenidae,1968,53,1,Habitat loss and pollution,0,0,African,1,Nigeria,,CR,
Amphisbaenid sp.,Cynisca muelleri,Squamata,Amphisbaenidae,1881,140,0,Unknown,0,0,African,1,Ghana,,DD,
Amphisbaenid sp.,Cynisca williamsi,Squamata,Amphisbaenidae,1963,58,0,Unknown,0,0,African,1,Ghana,,DD,Known only from holotype.
Gecko sp.,Cyrtodactylus consobrinoides,Squamata,Gekkonidae,1905,116,0,Unknown,0,0,Oriental,1,Myanmar,,DD,Known only from holotype.
Gecko sp.,Cyrtodactylus feae,Squamata,Gekkonidae,1893,128,0,Unknown,0,1,Oriental,1,Myanmar,,DD,Known only from holotype.
Gecko sp.,Cyrtodactylus mandalayensis,Squamata,Gekkonidae,1900,121,0,Habitat loss,0,?,Oriental,1,Myanmar,,DD,Known only from holotype. Taxonomy uncertain.
Stresemann?s Bent-toed Gecko,Cyrtodactylus stresemanni,Squamata,Gekkonidae,1910,111,0,Habitat loss,0,0,Oriental,1,Malaysia,Peninsula Malaysia,DD,Known only from holotype.
Gecko sp.,Cyrtodactylus tamaiensis,Squamata,Gekkonidae,1939,82,0,Unknown,0,1,Oriental,1,Myanmar,,DD,"Known only from holotype. Last observered 1937-1939, 1939 conservatively applied."
Gecko sp.,Cyrtopodion brevipes,Squamata,Gekkonidae,1874,147,0,None,0,0,Eurasian,0,Iran,,LC,Known only from holotype.
Werner's Spider Gecko,Cyrtopodion gastrophole,Squamata,Gekkonidae,1958,63,0,Unknown,0,0,Eurasian,0,Iran,,DD,GBIF used as last obervation date resource 
Colombian Frog-eating Snake,Diaphorolepis laevis,Squamata,Dipsadidae,1923,98,0,Unknown,0,0,South American,1,Colombia,,DD,Known only from holotype. Collection date not given so description date applied.
Alfred's Blind Skink,Dibamus alfredi,Squamata,Dibamidae,1961,60,0,Unknown,0,0,Oriental,1,Thailand,,DD,GBIF used as last obervation date resource .
Graham's Japalure,Diploderma grahami,Squamata,Agamidae,1924,97,0,Unknown. Habitat loss hypothesised,0,?,Eurasian,0,China ,Sichuan,DD,Known only from holotype. Collection date not given so description date applied.
Hampton's Japalure,Diploderma hamptoni,Squamata,Agamidae,1935,86,0,Unknown. Habitat loss hypothesised,0,0,Oriental,1,Myanmar,,DD,Known only from type series.
Jan's Snail-eater,Dipsas incerta,Squamata,Dipsadidae,1863,158,0,Unknown,0,?,South American,1,Guyana,,DD,Known only from holotype. Exact collection locality uncertain. Taxonomy uncertain.
Werner's Thirst Snake,Dipsas maxillaris,Squamata,Dipsadidae,1909,112,0,Unknown,0,?,South American,1,Mexico,,DD,Known only from holotype. Exact collection locality uncertain. Taxonomy uncertain.
Snake sp.,Eirenis rechingeri,Squamata,Colubridae,1970,51,0,Unknown,0,1,Eurasian,0,Iran,,DD,Known only from holotype.
Cyclop?s Skink,Emoia cyclops,Squamata,Scincidae,1938,83,0,Unknown. Habitat loss hypothesised,0,1,Australian ,1,Indonesia,Papua,DD,Known only from type series.
Bourret's Emo Skink,Emoia laobaoense,Squamata,Scincidae,1937,84,0,Unknown. Remnant impacts of Agent Orange hypothesized,0,0,Oriental,1,Vietnam,,DD,Known only from type series.
Drewes? Worm Snake,Epacrophis drewsi,Squamata,Leptotyphlopidae,1957,64,0,Unknown,0,1,African,1,Kenya,,DD,Known only from holotype.
Northern Blind Snake,Epictia teaguei,Squamata,Leptotyphlopidae,1964,57,0,Unknown. Habitat loss hypothesised,0,1,South American,1,Peru,,DD,Known only from holotype. Collection date not given so description date applied.
Eleven-striped Blind Snake,Epictia undecimstriata,Squamata,Leptotyphlopidae,1839,182,0,Unknown,0,?,South American,1,Bolivia,,DD,Known only from holotype. Exact collection locality uncertain.
Alachan Racerunner,Eremias quadrifrons,Squamata,Lacertidae,1876,145,0,None,0,0,Eurasian,0,Mongolia,,DD,Known only from type series. Collection date not given so description date applied.
Lac‚pŠde's Ground Snake,Erythrolamprus cursor,Squamata,Dipsadidae,1968,53,1,Introduced predators and overharvesting,1,0,South American,1,Martinique,,CR,
Snake sp.,Etheridgeum pulchrum,Squamata,Calamariidae,1924,97,0,Unknown,1,0,Oriental,1,Indonesia,Sumatra,DD,Known only from holotype.
Skink sp.,Eumecia johnstoni,Squamata,Scincidae,1896,125,0,Unknown,0,?,African,1,Malawi,,DD,Known only from type series.
Spotted Sun Tegus,Euspondylus maculatus,Squamata,Gymnophthalmidae,1919,102,0,Unknown,0,?,South American,1,Peru,,DD,"Last observed ""more than a century"" ago (IUCN 2019), 1919 conservatively applied. Exact collection locality uncertain."
Simons' Sun Tegus,Euspondylus simonsii,Squamata,Gymnophthalmidae,1910,111,0,Unknown,0,1,South American,1,?,,DD,"Last seen ""mid-1900s"", 1910 conservatively applied."
Snake sp.,Eutrachelophis steinbachi,Squamata,Dipsadidae,1905,116,0,Habitat loss,0,0,South American,1,Bolivia,,DD,Known only from holotype.
Ashwamedh Writhing Skink,Eutropis ashwamedhi,Squamata,Scincidae,1969,52,0,Habitat loss,0,0,Oriental,1,India,,Vu,
Snake sp.,Ficimia ruspator,Squamata,Colubridae,1940,81,0,Unknown,0,1,South American,1,Mexico,,DD,Known only from holotype. Taxonomy uncertain.
Chameleon sp.,Furcifer tuzetae,Squamata,Chamaeleonidae,1969,52,0,Habitat loss,1,0,African,1,Madagascar,,DD,"Known only from holotype. Last observered in 1960s, 1969 conservatively applied."
La Palma Giant Lizard,Gallotia auaritae,Squamata,Lacertidae,1520,501,1,"Habitat loss, hunting, introduced predators",1,0,Eurasian,0,Spain,Canary Islands,CR,
Panamenian Earth Snake,Geophis championi,Squamata,Dipsadidae,1939,82,0,Unknown. Potentially habitat loss,0,1,South American,1,Panama,,DD,GBIF used as last obervation date resource 
Earth snake sp.,Geophis dunni,Squamata,Dipsadidae,1932,89,0,Unknown,0,1,South American,1,Nicuragua,,DD,Known only from holotype.
Isthmian Earth Snake,Geophis isthmicus,Squamata,Dipsadidae,1883,138,0,Unknown,0,?,South American,1,Mexico,,DD,Known only from holotype. Collection date not given so description date applied.
Widecollar Earth Snake,Geophis laticollaris,Squamata,Dipsadidae,1964,57,0,Unknown,0,0,South American,1,Mexico,,DD,Known only from type series.
Michoac n Earth Snake,Geophis maculiferus,Squamata,Dipsadidae,1941,80,0,Unknown,0,1,North American,0,Mexico,,DD,Known only from holotype.
Red Earth Snake,Geophis russatus,Squamata,Dipsadidae,1965,56,0,Unknown,0,0,South American,1,Mexico,,DD,Known only from holotype.
Sallae's Earth Snake,Geophis sallaei,Squamata,Dipsadidae,1894,127,0,Unknown,0,1,South American,1,Mexico,,DD,Known only from type series.
Beddome's Worm Snake,Gerrhopilus beddomii,Squamata,Gerrhopilidae,1890,131,0,Unknown,0,0,South American,1,India ,Western Ghats,DD,Known only from type series.
Javanese Blind Snake,Gerrhopilus bisubocularis,Squamata,Gerrhopilidae,1893,128,0,Unknown,1,0,Oriental,1,Indonesia ,"Java, Sumatra",DD,Known only from type series. Exact collection locality uncertain.
Snake sp.,Gyiophis maculosa,Squamata,Homalopsidae,1952,69,0,Unknown,0,0,Oriental,1,Myanmar,,DD,GBIF used as last obervation date resource 
Snake sp.,Hebius arqus,Squamata,Natricidae,1878,143,0,Unknown,0,?,Oriental,1,Indonesia,Borneo,DD,Known only from holotype. Exact collection locality uncertain.
Viper-like Keelback,Hebius viperinum,Squamata,Natricidae,1901,120,0,Unknown,1,0,Oriental,1,Indonesia ,Sumatra,DD,Known only from holotype.
Chaitzam's Ameiva,Holcosus chaitzami,Squamata,Teiidae,1956,65,0,Unknown,0,0,South American,1,Mexico,,DD,
Peters' Ameiva,Holcosus orcesi,Squamata,Teiidae,1959,62,1,Habitat loss,0,1,South American,1,Ecuador,,CR,Known only from type series.
Kinabalu Water Snake,Hydrablabes praefrontalis,Squamata,Natricidae,1890,131,0,Unknown,1,1,Oriental,1,Malaysia,Sabah,DD,Known only from holotype.
Dunn's Water Snake,Hydromorphus dunni,Squamata,Dipsadidae,1939,82,0,Habitat loss and pollution,0,1,South American,1,Panama,,DD,Known only from holotype.
Plain Sea Snake,Hydrophis inornatus,Squamata,Elapidae,1849,172,0,Unknown,0,0,Oriental,1,Indian Ocean,,DD,Known only from holotype. Marine.
Bombay Sea Snake,Hydrophis mamillaris,Squamata,Elapidae,1926,95,0,Potentially fishing bycatch,0,0,Oriental,1,South Asian coastal waters,,DD,Marine.
Daudin's Sea Snake,Hydrophis nigrocinctus,Squamata,Elapidae,1943,78,0,Unknown,0,0,South American,1,South Asian coastal waters,,DD,Marine.
Sepic Beaked Sea Snake,Hydrophis zweifeli,Squamata,Elapidae,1966,55,0,Unknown,0,0,Australian ,1,Papua New Guinea,,DD,Known only from holotype. Marine.
Agama sp.,Hypsilurus auritus,Squamata,Agamidae,1971,50,0,None,1,0,Australian ,1,?,Papua.,LC,"Last observed ""at least 50 years"" ago, 1971 conservatively applied."
Palau Tree Dragon,Hypsilurus godeffroyi,Squamata,Agamidae,1867,154,0,Unknown,1,0,Australian ,1,Palau,,DD,Taxonomy uncertain. Tacticly acknowledged as potentially extinct even if not listed as such.
Agama sp.,Hypsilurus nigrigularis,Squamata,Agamidae,1874,147,0,Unknown,1,0,Australian ,1,Indonesia ,Papua,DD,Known only from type series.
Jamaican Racer,Hypsirhynchus ater,Squamata,Dipsadidae,1900,121,1,Introduced predators,1,0,South American,1,Jamaica,,CR,
La Vega Racer,Hypsirhynchus melanichnus,Squamata,Dipsadidae,1910,111,1,Introduced predators,1,0,South American,1,Haiti,,CR,
Parish's Fanged Snake,Ialtris parishi,Squamata,Dipsadidae,1970,51,0,Habitat loss and introduced predators,1,0,South American,1,Haiti,,CR,
Marx's Rough-scaled Lizard,Ichnotropis microlepidota,Squamata,Lacertidae,1954,67,0,Potentially habitat loss and fire,0,0,African,1,Angola,,DD,Known only from holoytpe. Taxonomy uncertain.
Tanzanian Rough-scaled Lizard,Ichnotropis tanganicana,Squamata,Lacertidae,1917,104,0,Unknown,0,0,African,1,Tanzania,,DD,Known only from holotype.
Spatula-toothed Snake,Iguanognathus werneri,Squamata,Colubridae,1898,123,0,Unknown,1,0,Oriental,1,Indonesia ,Sumatra,DD,Known only from holotype.
Belgaum Worm Snake,Indotyphlops exiguusÿ,Squamata,Typhlopidae,1864,157,0,Unknown,0,0,Oriental,1,India ,Western Ghats,DD,Known only from holotype. Collection date not given so description date applied.
Palni Hills Ground Skink,Kaestlea palnica,Squamata,Scincidae,1935,86,0,Unknown. Hypothesised habitat loss,0,1,Oriental,1,India ,Western Ghats,DD,Known only from type series.
Pahang Mud Snake,Kualatahan pahangensis,Squamata,Homalopsidae,1946,75,0,Unknown,0,0,Oriental,1,Malaysia ,Peninsula Malaysia,DD,Known only from holotype. Collection date not given so description date applied.
King Snake sp.,Lampropeltis catalinensis,Squamata,Colubridae,1921,100,0,Introduced predators,1,0,North American,0,Mexico ,Catalina Island,DD,Known only from holotype.
Lizard sp.,Latastia ornata,Squamata,Lacertidae,1938,83,0,Unknown,0,0,African,1,Guinea-Bissau,,DD,Known only from holotype.
Siebenrock's Longtail Lizard,Latastia siebenrocki,Squamata,Lacertidae,1905,116,0,Unknown,0,?,African,1,Benin,,DD,Known only from holotype. Exact collection locality uncertain. Taxonomy uncertain.
Atalaye Curlytail Lizard,Leiocephalus pratensis,Squamata,Tropiduridae,1966,55,1,Habitat loss and introduced predators,1,0,South American,1,Haiti,,CR,
Huon Peninsula White-lipped Python,Leiopython huonensis,Squamata,Pythonidae,1964,57,0,Unknown,1,0,Australian ,1,Papua New Guinea,,DD,
Gecko sp.,Lepidoblepharis microlepis,Squamata,Sphaerodactylidae,1923,98,0,Unknown,0,0,South American,1,Colombia,Choco region,DD,Known only from holotype. Taxonomy uncertain.
Gecko sp.,Lepidoblepharis oxycephalus,Squamata,Sphaerodactylidae,1894,127,0,Unknown,0,?,South American,1,Ecuador,,DD,Known only from holotype. Collection date not given so description date applied. Exact collection locality uncertain.
Guadalcanal Scaly-toed Gecko,Lepidodactylus shebae,Squamata,Gekkonidae,1944,77,0,Unknown,1,0,Australian ,1,Solomon Islands,,DD,Known only from holotype. Taxonomy uncertain.
Mbanja Worm Snake,Leptotyphlops mbanjensis,Squamata,Leptotyphlopidae,1939,82,0,Unknown. Hypothesised habitat loss,0,0,African,1,Tanzania,,DD,Known only from type series.
Worm snake sp.,Leptotyphlops pungwensis,Squamata,Leptotyphlopidae,1963,58,0,Unknown. Hypothesised habitat loss,0,0,African,1,Mozambique ,,DD,Known only from holotype.
Liberia Worm Snake,Letheobia leucosticta,Squamata,Typhlopidae,1898,123,0,Unknown,0,0,African,1,Liberia,,DD,Known only from holotype.
Mann's Worm Snake,Letheobia manni,Squamata,Typhlopidae,1954,67,0,Unknown,0,0,African,1,Liberia,,DD,
Pemba Gracile Blind-snake,Letheobia pembana,Squamata,Typhlopidae,1905,116,0,Unknown,1,0,African,1,Tanzania,,DD,Known only from holotype.
Ihering's Snake,Lioheterophis iheringi,Squamata,Dipsadidae,1935,86,0,Unknown,0,?,South American,1,Brazil,,DD,Known only from holotype. Exact collection locality uncertain. - May not even be from the South American region.
Dragon Grande,Liolaemus erroneus,Squamata,Liolaemidae,1962,59,0,Habitat loss,0,0,South American,1,Chile,,DD,Known only from holotype.
Tree Iguana sp.,Liolaemus melanopleurus,Squamata,Liolaemidae,1860,161,0,Unknown,0,0,South American,1,Chile,,DD,Known only from type series. Taxonomy uncertain.
Snake sp.,Liophidium apperti,Squamata,Pseudoxyrhophiidae,1968,53,0,Habitat loss,0,0,African,1,Madagascar,,DD,Known only from holotype.Tacticly acknowledged as potentially extinct even if not listed as such.
Sao Paulo Blind Snake,Liotyphlops schubarti,Squamata,Anomalepididae,1948,73,0,Unknown. Hypothesised habitat loss,0,0,South American,1,Brazil,,DD,Known only from holotype.
Werner's Lipinia,Lipinia miangensis,Squamata,Scincidae,1910,111,0,Unknown. Hypothesised habitat loss,1,0,Oriental,1,Indonesia,Kalimantan,DD,Known only from holotype.
Rusty Tree Skink,Lipinia zamboangensis,Squamata,Scincidae,1963,58,0,Unknown. Potentially climate change,1,1,Oriental,1,Phillipines,Mindanao,DD,Known only from holotype.
Amphisbaenid sp.,Loveridgea phylofiniens,Squamata,Amphisbaenidae,1899,122,0,Unknown. Hypothesised habitat loss,0,0,African,1,Tanzania,,DD,Known only from type series.
Manila Wolf Snake,Lycodon tessellatus,Squamata,Colubridae,1846,175,0,Uknown,1,0,Oriental,1,Phillipines ,Luzon,DD,Known only from holotype. Exact collection locality uncertain.
Snake sp.,Lycophidion pembanum,Squamata,Lamprophiidae,1949,72,0,Unknown. Hypothesised habitat loss,1,0,African,1,Tanzania,,DD,"Last observed in 1940s, 1949 conservatively applied."
Kenya Dwarf Gecko,Lygodactylus grandisonae,Squamata,Gekkonidae,1962,59,0,Unknown,0,0,African,1,Kenya,,DD,Known only from type series.
Dar-es-Salaam Dwarf Gecko,Lygodactylus inexpectatus,Squamata,Gekkonidae,1964,57,0,Urban development,0,0,African,1,Tanzania,,DD,Known only from holotype. Tacticly acknowledged as potentially extinct even if not listed as such. 
Scheffler's Dwarf Gecko,Lygodactylus scheffleri,Squamata,Gekkonidae,1939,82,0,None,0,0,African,1,Kenya,,DD,"Last observed in 1930s, 1939 conservatively applied."
Pruthi's Skink,Lygosoma pruthi,Squamata,Scincidae,1929,92,0,Unknown. Hypothesised habitat loss,0,0,Oriental,1,India ,,DD,Known only from type series.
Hispaniolan Two-lined Skink,Mabuya hispaniolae,Squamata,Scincidae,1937,84,1,Introduced predators and habitat loss,1,0,South American,1,Dominican Republic ,,CR,
Greater Martinique Skink,Mabuya mabouya,Squamata,Scincidae,1889,132,1,Introduced predators and habitat loss,1,0,South American,1,Martinique,,CR,
Taylor's Worm Snake,Malayotyphlops canlaonensis,Squamata,Typhlopidae,1917,104,0,Unknown. Hypothesised habitat loss,1,0,Oriental,1,Phillipines ,Negros,DD,Known only from holotype. Collection date not given so description date applied.
