,Common name,Scientific name,Order,Family,Presumed extinction date (usually last confirmed record where precise estimate not provided),Cause of extinction,Island/Mountain/Lowland,Location (Continent/Island),Notes,
,Galap gos Giant Rat,Megaoryzomys curioi,Rodentia,Cricetidae,1780,Unstated.  ,Island,Galapagos,"Extinction date unknown, but Steadman & Ray (1982) predict within 2 centuries, so a conservative value of 1780 is applied",
,Bramble Cay Melomys,Melomys rubicola,Rodentia,Cricetidae,2009,Climate change and habitat loss,Island,Australia (Bramble Cay),,
,Caribbean Monk Seal,Neomonachus tropicalis,Carnivora,Phocidae,1952,Hunting,Island (Marine),Caribbean,,
,Anthony's Woodrat,Neotoma anthonyi,Rodentia,Cricetidae,1926,Introduced predators,Island,Mexico (Baja California Islands),,
,Bunker's Woodrat,Neotoma bunkeri,Rodentia,Cricetidae,1931,Introduced predators,Island,Mexico (Baja California Islands),,
,Sea Mink,Neovison macrodon,Carnivora,Mustelidae,1894,Hunting,Lowland (Littoral),Eastern North America (North-Eastern Seaboard),,
,Edith's Island-shrew,Nesophontes edithae,Eulipotyphla,Nesophontidae,1500,Unknown. Introduced predators hypothesised,Island,Caribbean (Puerto Rico & Virgin Islands),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Atalaye Nesophontes,Nesophontes hypomicrus,Eulipotyphla,Nesophontidae,1500,Unknown. Introduced predators & habitat loss hypothesised,Island,Caribbean (Hispaniola),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Un-named Shrew sp.,Nesophontes major,Eulipotyphla,Nesophontidae,1500,Unknown. Introduced predators hypothesised,Island,Caribbean (Cuba),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Western Cuban Nesophontes,Nesophontes micrus,Eulipotyphla,Nesophontidae,1500,Unknown. Introduced predators & habitat loss hypothesised,Island,Caribbean (Cuba),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,St. Michel Nesophontes,Nesophontes paramicrus,Eulipotyphla,Nesophontidae,1500,Unknown. Introduced predators & habitat loss hypothesised,Island,Caribbean (Hispaniola),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Haitian Nesophontes,Nesophontes zamicrus,Eulipotyphla,Nesophontidae,1500,Unknown. Introduced predators & habitat loss hypothesised,Island,Caribbean (Hispaniola),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Darwin's Galapagos Mouse,Nesoryzomys darwini,Rodentia,Cricetidae,1930,Introduced predators,Island,Galapagos,,
,Indefatigable Galapagos Mouse,Nesoryzomys indefessus,Rodentia,Cricetidae,1934,Introduced predators,Island,Galapagos,,
,Mouse sp.,Noronhomys vespuccii,Rodentia,Cricetidae,1503,Unstated,Island,ÿBrazil (Fernando de Noronha),,
,Short-tailed Hopping-mouse,Notomys amplus,Rodentia,Muridae,1896,Unknown. Introduced predators hypothesised,Lowland,Australia (Central Deserts),,
,Long-tailed Hopping-mouse,Notomys longicaudatus,Rodentia,Muridae,1902,Unknown. Introduced predators hypothesised,Lowland,Australia (Central Deserts),,
,Big-eared Hopping-mouse,Notomys macrotis,Rodentia,Muridae,1844,Unknown. Habitat loss & Introduced predators hypothesised,Lowland,Australia (SW Coastal plain),,
,Darling Downs Hopping-mouse,Notomys mordax,Rodentia,Muridae,1840,Unknown. Introduced predators hypothesised,Lowland,Australia (Eastern Coastal Plain),Known from one specimen. Thought to have been collected some time in the 1840s so 1840 conservatively applied as extinction date.,
,Broad-cheeked Hopping-mouse,Notomys robustus,Rodentia,Muridae,1976,Unknown,Lowland,Australia (South) ,Known only from skulls from owl roosts. These were collected in 1976 so this date has been conservatively applied.,
,St. Vincent Pygmy Rice Rat,Oligoryzomys victus,Rodentia,Cricetidae,1892,Hypothesised introduced predators,Island,Caribbean (St Vincent),,
,Crescent Nailtail Wallaby,Onychogalea lunata,Diprotodontia,Macropodidae,1940,Introduced predators & habitat loss and degradation,Lowland,Australia (West and Central),No records since the 1940s so 1940 conservatively applied as extinction date.,
,Jamaican Rice Rat,Oryzomys antillarum,Rodentia,Cricetidae,1877,Hypothesised introduced predators,Island,Caribbean (Jamaica),,
,Tres Marias Island Rice Rat,Oryzomys nelsoni,Rodentia,Cricetidae,1897,Hypothesised introduced predators,Island,Mexico (Pacific Coast Islands),,
,Large Sloth Lemur,Palaeopropithecus ingens,Primates,Palaeopropithecidae,1620,Unknown,Island,Madagascar,,
,Nevis Rice Rat,Pennatomys nivalis,Rodentia,Cricetidae,1500,Unknown. Hypothesised introduced predators,Island,"Caribbean (St Kitts, Nevis, Bonaire)",Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Desert Bandicoot,Perameles eremiana,Peramelemorphia,Peramelidae,1943,Introduced predators and habitat destruction,Lowland,Australia (Central Deserts),,
,Pemberton's Deer Mouse,Peromyscus pembertoni,Rodentia,Cricetidae,1931,Unknown.,Island,Mexico (Baja California Islands),,
,Christmas Island Pipistrelle,Pipistrellus murrayi,Chiroptera,Vespertilionidae,2009,Unknown. Hypothesised habitat loss and introduced predators,Island,Christmas Island (Australia),,
,Bonin Pipistrelle,Pipistrellus sturdeei,Chiroptera,Vespertilionidae,1889,Unknown,Island,Japan (Bonin Islands),Known only from holotype,
,Samana Hutia,Plagiodontia ipnaeum,Rodentia,Capromyidae,1500,Unknown. Introduced predators hypothesised,Island,Caribbean (Hispaniola),Extinct date not known but believed to persist into period of European settlement (c. 1500) so this date conservatively applied.,
,Broad-faced Potoroo,Potorous platyops,Diprotodontia,Potoroidae,1875,Hypothesised Introduced predators and disease,Lowland,Australia (South and West Temperate regions),,
,Sardinian Pika,Prolagus sardus,Lagomorpha,Prolagidae,1774,Habitat loss and competition with invasives,Island,Mediterranean (Corsica and Sardinia),,
,Long-eared Mouse,Pseudomys auritus,Rodentia,Muridae,1850,"Introduced predators, land clearance and overgrazing",Lowland,Australia (South) ,,
,Blue-grey Mouse,Pseudomys glaucus,Rodentia,Muridae,1956,Unknown. Habitat loss & Introduced predators hypothesised,Lowland,Australia (Eastern Coastal Plain),,
