Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Frog sp.,Strongylopus kilimanjaro,Anura,Pyxicephalidae,1936,85,0,Unknown,0,1,African,1,Tanzania,,DD,Known only from type series. 
Hall's Water Frog,Telmatobius halli,Anura,Telmatobiidae,1935,86,0,Unknown,0,1,South American,1,Chile,,DD,Known only from type series. 
Frog sp.,Telmatobius laevis,Anura,Telmatobiidae,1887,134,0,Unknown,0,?,South American,1,Chile,,DD,Known only from type series. 
Frog sp.,Theloderma laeve,anura,Rhacophoriae,1918,103,0,Unknown,0,?,Oriental,1,Vietnam,,DD,Known only from holotype.
Frog sp.,Uperoleia marmorata,Anura,Myobatrachidae,1841,180,0,Unknown,0,0,Australian ,0,Australia ,,DD,Known only from holotype.
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
