Common name,Scientific name,Order,Family,Last confirmed record ,Years since last record,Possibly extinct?,Cause of decline,Island?,Montane?,Zoogeography,Tropical?,Country,Region,IUCN Assesment ,Notes
Frog sp.,Cophixalus montanus,Anura,Microhylidae,1899,122,0,Unknown,1,0,Australian ,1,Indonesia,Moluccas,DD,"Last observed in ""late 1800s"",  1899 conservatively applied."
Tagula Rainforest Frog,Cophixalus tagulensis,Anura,Microhylidae,1956,65,0,None,1,0,Australian ,1,Papua New Guinea,,DD,Known only from type series. 
Elegant Sticky-toed Frog,Cornufer elegans,Anura,Ceratobatrachidae,1969,52,0,None,1,1,Australian ,1,Papua New Guinea,Bougainville Island,LC,"Known only from type series.  Last observed in 1960s, 1969 conservativly applied ."
Bougainville Sticky-toed Frog,Cornufer gigas,Anura,Ceratobatrachidae,1966,55,0,Unknown,1,1,Australian ,1,Papua New Guinea ,Bougainville Island,DD,Known only from type series. 
San Pedro Robber Frog,Craugastor merendonensis,Anura,Craugastoridae ,1968,53,1,"Habitat loss, possibly chytrid",0,0,South American,1,Honduras ,,CR,
Forest Robber Frog,Craugastor silvicola,Anura,Craugastoridae ,1964,57,0,Unknown,0,1,South American,1,Mexico,,DD,
Frog sp.,Crossodactylodes pintoi,Anura,Leptodactylidae,1909,112,0,None,0,1,South American,1,Brazil,,DD,Known only from type series. 
BornmÅller's Caecilian,Crotaphatrema bornmuelleri,Gymnophiona,Scolecomorphidae,1893,128,0,Habitat loss,0,?,African,1,Cameroon,,DD,Known only from holotype.
Frog sp.,Cycloramphus carvalhoi,Anura,Cycloramphidae,1959,62,0,Unknown,0,1,South American,1,Brazil,,DD,
Frog sp.,Cycloramphus diringshofeni,Anura,Cycloramphidae,1950,71,0,Unknown,0,?,South American,1,Brazil,,DD,
Frog sp.,Cycloramphus duseni,Anura,Cycloramphidae,1914,107,0,Tourism,0,0,South American,1,Brazil,,DD,Known only from type series. 
Socopo Tree Frog,Dendropsophus amicorum,Anura,Hylidae,1968,53,0,Habitat loss,0,0,South American,1,Venezuela,,CR,Known only from holotype.
Frog sp.,Dendropsophus battersbyi,Anura,Hylidae,1850,171,0,Pollution,0,0,South American,1,Venezuela,,DD,"Last observed in ""first half of 1800s"",  1850 conservatively applied. "
Mazaruni Treefrog,Dendropsophus grandisonae,Anura,Hylidae,1966,55,0,Unknown,0,0,South American,1,Guyana,,DD,Known only from holotype.
Frog sp.,Dendropsophus tintinnabulum,Anura,Hylidae,1941,80,0,Unknown,0,0,South American,1,Brazil,,DD,Known only from type series.  Collection date not given so description date applied.
Frog sp.,Dryaderces inframaculata,Anura,Hylidae,1921,100,0,Unknown,0,0,South American,1,Brazil,,DD,
Pulo Weh Toad,Duttaphrynus valhallae,Anura,Bufonidae,1908,113,0,Unknown,1,?,Oriental,1,Indonesia ,(Pulo weh),DD,Known only from holotype.
Oaxacan Fringe-limbed Treefrog,Ecnomiohyla echinata,Anura,Hylidae,1962,59,1,"Possibly chytrid, habitat loss",0,1,South American,1,Mexico,,CR,
Frog sp.,Ecnomiohyla phantasmagoria,Anura,Hylidae,1943,78,0,Habitat loss,0,?,South American,1,Colombia,,DD,"Known only from holotype. Last observed in ""Early 1940s"", 1943 conservatively applied."
Cerro Mali Treefrog,Ecnomiohyla thysanota,Anura,Hylidae,1966,55,0,Chytrid,0,1,South American,1,Panama ,,DD,Known only from holotype. Collection date not given so description date applied.
Frog sp.,Ectopoglossus absconditus,Anura,Dendrobatidae,1939,82,0,Unknown,0,0,South American,1,Colombia,,DD,Known only from type series. 
Eastern Caecilian,Epicrionops lativittatus,Gymnophiona,Rhinatrematidae,1968,53,0,Unknown,0,0,South American,1,Peru,,DD,Known only from holotype. Collection date not given so description date applied.
Salamander sp.,Eurycea robusta,Caudata,Plethodontidae,1951,70,0,Aquifer depletion,0,0,North American,0,United States,Texas,DD,Known only from type series. Taxonomy uncertain.
Mysore Frog,Fejervarya mysorensis,Anura,Dicroglossidae,1922,99,0,Habitat loss ,0,1,Oriental,1,India,,DD,Known only from type series. Collection date not given so description date applied.
Gold-spotted Marsupial Frog,Gastrotheca aureomaculata,Anura,Hemiphractidae,1969,52,0,Habitat loss,0,1,South American,1,Colombia,,EN,
Frog sp.,Gastrotheca williamsoni,Anura,Hemiphractidae,1922,99,0,Habitat loss,0,0,South American,1,Venezuela,,DD,Known only from type series. 
Seshachari's Caecilian,Gegeneophis seshachari,Gymnophiona,Indotyphlidae,1967,54,0,Unknown,0,0,Oriental,1,India,Western Ghats,DD,Known only from holotype
Frog sp.,Haddadus plicifer,Anura,Craugastoridae ,1921,100,0,Unknown,0,0,South American,1,Brazil,,DD,Known only from type series. 
Frog sp.,Hemisus brachydactylus,Anura,Hemisotidae,1929,92,0,Unknown,0,?,African,1,Tanzania,,DD,
Victoria Caecilian,Herpele multiplicata,Gymnophiona,Herpelidae,1912,109,0,Unknown,0,?,African,1,Cameroon,,DD,Known only from type series. 
Toungoo Frog,Humerana oatesii,Anura,Ranidae,1892,129,0,"Habitat loss, fires",0,?,Oriental,1,Myanmar,,DD,Known only from type series. 
Colombian Backpack Frog,Hyla nicefori,Anura,Hylidae,1949,72,0,Habitat loss,0,1,South American,1,Colombia,,DD,"Known only from holotype. Last observed in 1940s, 1949 conservatively applied."
Frog sp.,Hylarana margariana,Anura,Ranidae,1875,146,0,Unknown,0,0,Oriental,1,Myanmar,,DD,Known only from type series. 
Frog sp.,Hylophorbus rufescens,Anura,Microhylidae,1879,142,0,Unknown,1,0,Australian ,1,Papua New Guinea,,DD,"Known only from type series.  Last observed in 1970s, 1979 conservatively applied."
Frog sp.,Hyloxalus peculiaris,Anura,Dendrobatidae,1962,59,0,Habitat loss ,0,1,South American,1,Ecuador,,DD,Known only from type series. 
Frog sp.,Hyloxalus pumilus,Anura,Dendrobatidae,1962,59,0,"Habitat loss, invasive species",0,1,South American,1,Ecuador,,DD,Known only from type series. 
Frog sp.,Hymenochirus feae,Anura,Pipidae,1906,115,0,Unknown,0,?,African,1,Gabon ,,DD,Known only from type series. Collection date not given so description date applied.
Frog sp.,Hynobius turkestanicus,Caudata,Hynobiidae,1909,112,0,Unknown,0,?,Eurasian,0,?,,DD,Known only from type series. Collection date not given so description date applied.
Frog sp.,Hyperolius ferrugineus,Anura,Hyperoliidae,1943,78,0,Unknown,0,?,African,1,Democratic Republic of the Congo,,DD,Known only from type series. Exact collection locality uncertain.
Frog sp.,Hyperolius ghesquieri,Anura,Hyperoliidae,1943,78,0,Unknown,0,0,African,1,Democratic Republic of the Congo,,DD,Known only from type series.
Frog sp.,Hyperolius inornatus,Anura,Hyperoliidae,1943,78,0,Unknown,0,0,African,1,Democratic Republic of the Congo,,DD,Known only from holotype
Luvubu Reed Frog,Hyperolius leleupi,Anura,Hyperoliidae,1951,70,0,Habitat loss,0,1,African,1,Democratic Republic of the Congo,,EN,Known only from type series. 
Frog sp.,Hyperolius obscurus,Anura,Hyperoliidae,1943,78,0,Unknown,0,0,African,1,Democratic Republic of the Congo,,DD,Known only from holotype
Frog sp.,Hyperolius papyri,Anura,Hyperoliidae,1905,116,0,Unknown,0,?,African,1,South Sudan,,DD,Known only from type series. 
African Reed Frog,Hyperolius rhizophilus,Anura,Hyperoliidae,1885,136,0,Unknown,0,0,African,1,Angola,Cabinda,DD,Known only from type series. 
Me Wang Valley Caecilian,Ichthyophis acuminatus,Gymnophiona,Ichthyophiidae,1960,61,0,Unknown,0,?,Oriental,1,Thailand,,DD,Known only from holotype. Collection date not given so description date applied.
Long Bloee Caecilian,Ichthyophis atricollaris,Gymnophiona,Ichthyophiidae,1965,56,0,Unknown,0,?,South American,1,Malaysia,Sarawak,DD,Known only from holotype. Collection date not given so description date applied.
Billiton Island Caecilian,Ichthyophis billitonensis,Gymnophiona,Ichthyophiidae,1965,56,0,Habitat loss,1,0,Oriental,1,Indonesia ,Beiltung Island,DD,Known only from holotype. Collection date not given so description date applied.
Java Caecilian,Ichthyophis javanicus,Gymnophiona,Ichthyophiidae,1960,61,0,Unknown,1,?,Oriental,1,Indonesia,Java,DD,Known only from holotype. Collection date not given so description date applied.
Singapore Caecilian,Ichthyophis singaporensis,Gymnophiona,Ichthyophiidae,1960,61,0,Unknown,0,0,Oriental,1,Singapore,,DD,Known only from holotype. Collection date not given so description date applied.
Chang Mai Caecilian,Ichthyophis youngorum,Gymnophiona,Ichthyophiidae,1957,64,0,Unknown,0,1,Oriental,1,Thailand,,DD,Known only from type series. 
Toad sp.,Ischnocnema verrucosa,Anura,Brachycephalidae,1862,159,0,Habitat loss,0,0,South American,1,Brazil,,DD,Collection date not given so description date applied
Robinson's Grainy Frog,Kalophrynus robinsoni,Anura,Microhylidae,1922,99,0,Unknown,0,1,Oriental,1,Malaysia,,DD,
Hualo,Leptodactylus pascoensis,Anura,Leptodactylidae,1961,60,0,Habitat loss,0,0,South American,1,Peru,,DD,Known only from type series. 
Quissange Forest Tree Frog,Leptopelis marginatus,Anura,Arthroleptidae,1895,126,0,Unknown,0,?,African,1,Angola,,DD,Known only from holotype.
Khammon Wart Frog,Limnonectes khammonensis,Anura,Dicroglossidae,1927,94,0,Unknown,0,?,Oriental,1,Laos,,DD,
Puebla Frog,Lithobates pueblae,Anura,Ranidae,1948,73,1,Habitat loss,0,1,South American,1,Mexico ,,CR,Known only from holotype.
Garman New Guinea Treefrog,Litoria jeudii,Anura,Pelodryadidae,1901,120,0,Habitat loss,1,?,Australian ,1,Papua New Guinea,,DD,Known only from holotype. Collection date not given so description date applied.
Sapito Acollarado de Rancho Grande,Mannophryne neblina,Anura,Aromobatidae,1951,70,0,"Chytrid, habitat loss",0,0,South American,1,Venezuela,,CR,Known only from type series. Formerly listed as possibly extinct.
Frog sp.,Megaelosia bocainensis,Anura,Hylodidae,1968,53,0,Unknown,0,?,South American,1,Brazil,,DD,Known only from holotype
Jordan Button Frog,Megaelosia jordanensis,Anura,Hylodidae,1944,77,0,Unknown,0,1,South American,1,Brazil,,DD,
Cloud Forest Treefrog,Megastomatohyla nubicola,Anura,Hylidae,1968,53,0,Habitat loss,0,1,South American,1,Mexico,,CR,
Toad sp.,Melanophryniscus pachyrhynus,Anura,Bufonidae,1905,116,0,Habitat loss,0,0,South American,1,Brazil,,DD,Known only from type series. 
Toad sp.,Melanophryniscus peritus,Anura,Bufonidae,1953,68,1,Habitat loss,0,1,South American,1,Brazil,,CR,Known only from holotype.
Large-Eyed Torrent Frog,Meristogenys macrophthalmus,Anura,Ranidae,1964,57,0,Habitat loss,0,0,Oriental,1,Malaysia,Sarawak,DD,Known only from holotype
Frog sp.,Micrixalus narainensis,Anura,Micrixalidae,1937,84,0,Habitat loss,0,?,Oriental,1,India ,Western Ghats,DD,Known only from holotype. Exact collection locality uncertain.
Brown Rice Frog,Microhyla fusca,Anura,Microhylidae,1943,78,0,Unknown,0,?,Oriental,1,Vietnam,,DD,Known only from type series. 
Reinhardt's Caecilian,Mimosiphonops reinhardti,Gymnophiona,Siphonopidae,1878,143,0,Unknown,0,?,South American,1,Brazil,,DD,Known only from holotype. Exact collection locality uncertain.
Dayman Big-eyed Treefrog,Nyctimystes daymani,Anura,Pelodryadidae,1958,63,0,None,1,1,Australian ,1,Papua New Guinea,,LC,Known only from type series
Mountain Big-eyed Treefrog,Nyctimystes montanus,Anura,Pelodryadidae,1920,101,0,Unknown,1,1,Australian ,1,Indonesia,Papua,DD,Known only from holotype.
Napo Cochran Frog,Nymphargus anomalus,Anura,Centrolenidae,1971,50,0,Habitat loss ,0,1,South American,1,Ecuador,,CR,Known only from holotype.
Frog sp.,Nymphargus laurae,Anura,Centrolenidae,1955,66,0,Habitat loss,0,0,South American,1,Ecuador,,CR,Known only from holotype. GBIF used as last obervation date resource 
